Gender,Study hours,Attendance percentage,Semester 1(aggregate),Semester 2(aggregate),Semester 3(aggregate),Semester 4(aggregate),Semester 5(aggregate),Semester 6(aggregate),Semester 7(aggregate),Semester 8(aggregate),Total aggregate,No. of backlogs,Internet access(yes/no),Extracurricular activities(yes/no),Library Usage,Sleep hours,Classroom engagement level,Peer interaction level,"Device used for studing_Laptops, Mobile","Device used for studing_Laptops, Mobile, Text books","Device used for studing_Laptops, Text books",Device used for studing_Mobile,"Device used for studing_Mobile, Text books",Device used for studing_Text books
1,3.3,80.8,51.8,51.58,48.72,45.75,43.88,39.68,42.78,43.77,46.0,4,1,1,,6-8 hrs,1,1,False,False,False,False,True,False
0,0.5,84.8,65.82,65.78,66.65,64.74,57.93,57.59,52.23,54.73,60.68,6,1,1,,6-8 hrs,0,0,True,False,False,False,False,False
0,3.7,74.1,66.69,67.18,65.67,63.29,66.11,66.78,63.72,67.08,65.82,5,1,0,,6-8 hrs,0,1,False,False,False,False,False,True
0,6.3,80.8,58.13,58.11,54.93,51.35,51.16,47.98,48.4,45.3,51.92,4,1,1,,4-6 hrs,2,2,False,False,False,False,False,False
1,5.6,80.4,73.01,71.8,72.69,76.4,74.81,74.36,69.91,74.17,73.39,5,1,0,,4-6 hrs,1,1,False,False,True,False,False,False
1,5.4,83.5,57.96,60.2,65.73,63.73,67.94,71.78,73.37,73.77,66.81,6,1,0,,2-4 hrs,1,2,False,True,False,False,False,False
1,3.9,84.7,72.52,71.96,75.43,83.02,77.83,83.0,88.5,85.71,79.75,3,1,1,,4-6 hrs,1,2,False,False,False,True,False,False
0,1.9,86.5,61.94,68.82,64.49,66.87,70.3,72.85,76.83,77.88,70.0,0,1,1,,4-6 hrs,2,1,False,False,False,False,False,True
0,5.5,83.9,59.45,61.89,67.38,65.14,69.88,67.22,70.71,74.21,66.98,1,1,0,,4-6 hrs,1,1,False,False,False,True,False,False
0,2.8,72.3,61.39,64.88,66.14,66.91,70.08,66.48,70.86,72.09,67.35,0,1,0,,6-8 hrs,0,1,True,False,False,False,False,False
1,8.9,74.5,49.57,53.41,51.77,52.37,49.53,52.26,52.21,51.65,51.6,7,1,0,,4-6 hrs,1,1,False,False,False,False,False,False
2,5.6,77.6,52.98,46.84,46.64,42.83,41.77,40.3,36.83,35.0,42.9,3,1,1,,4-6 hrs,1,2,True,False,False,False,False,False
0,3.3,79.7,50.72,56.7,58.41,58.76,56.69,61.93,66.28,67.86,59.67,5,1,1,,6-8 hrs,2,1,False,False,False,False,False,True
1,3.3,90.4,55.05,46.74,48.92,43.31,41.01,39.26,38.65,37.91,43.86,2,1,0,,>8 hrs,2,2,True,False,False,False,False,False
1,4.3,72.7,54.18,58.24,57.41,55.53,57.63,53.27,56.09,54.14,55.81,8,1,1,,6-8 hrs,2,1,False,False,False,True,False,False
1,4.0,79.1,67.95,69.94,67.7,70.16,67.38,72.48,69.51,67.58,69.09,1,1,1,,4-6 hrs,1,1,False,False,False,False,False,True
1,6.7,89.6,55.59,52.37,50.11,51.93,43.44,44.51,47.34,41.84,48.39,6,1,0,,6-8 hrs,2,1,False,False,False,False,False,True
0,4.9,79.6,69.66,72.27,67.69,71.97,74.45,71.78,72.93,77.62,72.3,0,1,0,,4-6 hrs,2,1,False,False,False,True,False,False
1,3.0,85.7,59.57,55.82,55.04,48.97,49.71,48.55,48.71,42.93,51.16,6,1,0,,6-8 hrs,1,2,False,False,False,False,True,False
1,8.3,80.9,65.78,65.62,62.0,66.77,69.16,66.13,71.64,66.84,66.74,6,1,0,,4-6 hrs,1,1,False,False,False,False,False,False
0,4.6,84.1,51.76,54.4,54.69,49.96,46.34,48.14,44.38,41.99,48.96,6,1,1,,6-8 hrs,1,0,False,True,False,False,False,False
1,6.0,80.2,69.65,67.04,63.99,69.46,68.47,67.64,70.3,68.68,68.15,3,1,0,,4-6 hrs,1,1,False,True,False,False,False,False
1,3.3,87.3,65.52,60.49,63.32,67.56,69.94,71.41,72.74,73.38,68.04,5,1,0,,4-6 hrs,0,1,True,False,False,False,False,False
1,5.2,69.6,76.44,74.65,79.52,75.64,78.01,75.5,79.41,76.53,76.96,1,1,1,,6-8 hrs,1,1,False,True,False,False,False,False
1,5.1,79.1,79.59,80.64,81.72,75.91,75.15,81.63,77.34,75.62,78.45,5,1,1,,6-8 hrs,1,1,False,False,True,False,False,False
0,0.7,84.4,64.0,68.24,71.6,76.4,74.85,76.0,79.84,82.16,74.14,3,1,1,,6-8 hrs,0,1,False,False,False,False,True,False
1,8.5,86.3,59.65,59.31,60.88,55.42,60.65,60.52,56.94,55.81,58.65,1,1,1,,>8 hrs,0,0,False,False,True,False,False,False
0,7.1,93.9,54.48,54.52,55.45,53.47,51.94,53.85,51.78,54.69,53.77,8,1,1,,>8 hrs,1,0,False,False,False,False,False,False
0,3.7,78.9,64.53,67.16,71.05,70.29,74.31,74.87,77.49,79.82,72.44,3,1,0,,2-4 hrs,1,1,False,False,False,False,True,False
1,2.3,93.8,72.37,80.05,82.26,80.18,81.9,85.87,87.75,88.24,82.33,1,1,0,,>8 hrs,1,1,False,False,False,False,False,True
0,5.2,76.7,68.4,63.32,61.76,62.69,59.5,59.48,54.71,54.83,60.59,4,1,1,,4-6 hrs,2,1,True,False,False,False,False,False
1,4.7,92.6,48.37,51.5,53.24,52.54,54.9,51.34,52.84,53.45,52.27,3,1,0,,>8 hrs,0,0,False,False,True,False,False,False
1,5.2,88.5,68.16,65.07,62.74,58.03,57.14,56.5,55.34,53.02,59.5,4,1,1,,4-6 hrs,0,2,False,False,False,False,False,False
0,4.9,74.7,71.9,68.12,64.47,63.7,62.78,61.68,58.54,55.11,63.29,5,1,1,,6-8 hrs,2,1,True,False,False,False,False,False
2,5.5,84.5,73.28,75.5,76.19,75.34,71.01,71.52,73.06,74.47,73.8,4,1,0,,6-8 hrs,1,1,False,False,True,False,False,False
0,7.4,81.6,78.0,76.72,76.22,72.73,77.08,77.81,75.39,81.21,76.9,4,1,0,,4-6 hrs,1,2,False,False,False,True,False,False
1,5.6,87.0,60.33,60.98,63.57,68.04,70.95,67.5,72.57,75.71,67.46,2,0,0,,6-8 hrs,2,1,False,False,False,True,False,False
1,2.4,80.2,78.81,79.01,85.48,81.63,85.86,87.13,88.21,91.97,84.76,0,1,0,,6-8 hrs,1,2,False,False,False,False,False,False
0,7.2,79.5,61.89,67.44,68.86,69.45,73.64,76.03,77.66,79.59,71.82,3,1,1,,4-6 hrs,2,1,False,False,True,False,False,False
1,7.8,93.0,80.32,83.95,80.94,84.23,90.71,88.66,85.55,92.77,85.89,3,0,1,,6-8 hrs,1,2,False,False,False,False,False,False
1,10.0,81.2,56.95,62.61,62.76,60.61,58.8,61.08,58.98,61.57,60.42,2,1,0,,6-8 hrs,1,1,False,False,False,True,False,False
