Gender,Study hours,Attendance percentage,Semester 1(aggregate),Semester 2(aggregate),Semester 3(aggregate),Semester 4(aggregate),Semester 5(aggregate),Semester 6(aggregate),Semester 7(aggregate),Semester 8(aggregate),Total aggregate,No. of backlogs,Internet access(yes/no),Extracurricular activities(yes/no),Library Usage,Sleep hours,Classroom engagement level,Peer interaction level,"Device used for studing_Laptops, Mobile","Device used for studing_Laptops, Mobile, Text books","Device used for studing_Laptops, Text books",Device used for studing_Mobile,"Device used for studing_Mobile, Text books",Device used for studing_Text books,slope,Trend,avg_score,Risk_Status
1,3.3,80.8,51.8,51.58,48.72,45.75,43.88,39.68,42.78,43.77,46.0,4,1,1,,6-8 hrs,1,1,False,False,False,False,True,False,-1.5380952380952375,Deteriorating,45.99499999999999,At Risk
0,0.5,84.8,65.82,65.78,66.65,64.74,57.93,57.59,52.23,54.73,60.68,6,1,1,,6-8 hrs,0,0,True,False,False,False,False,False,-2.1353571428571443,Deteriorating,60.68375,At Risk
0,3.7,74.1,66.69,67.18,65.67,63.29,66.11,66.78,63.72,67.08,65.82,5,1,0,,6-8 hrs,0,1,False,False,False,False,False,True,-0.10023809523809246,Stable,65.81500000000001,At Safe
0,6.3,80.8,58.13,58.11,54.93,51.35,51.16,47.98,48.4,45.3,51.92,4,1,1,,4-6 hrs,2,2,False,False,False,False,False,False,-1.8976190476190475,Deteriorating,51.92,At Risk
1,5.6,80.4,73.01,71.8,72.69,76.4,74.81,74.36,69.91,74.17,73.39,5,1,0,,4-6 hrs,1,1,False,False,True,False,False,False,0.024880952380954564,Stable,73.39375,At Safe
1,5.4,83.5,57.96,60.2,65.73,63.73,67.94,71.78,73.37,73.77,66.81,6,1,0,,2-4 hrs,1,2,False,True,False,False,False,False,2.3676190476190495,Improving,66.80999999999999,At Safe
1,3.9,84.7,72.52,71.96,75.43,83.02,77.83,83.0,88.5,85.71,79.75,3,1,1,,4-6 hrs,1,2,False,False,False,True,False,False,2.292261904761907,Improving,79.74625,At Safe
0,1.9,86.5,61.94,68.82,64.49,66.87,70.3,72.85,76.83,77.88,70.0,0,1,1,,4-6 hrs,2,1,False,False,False,False,False,True,2.1445238095238137,Improving,69.9975,At Safe
0,5.5,83.9,59.45,61.89,67.38,65.14,69.88,67.22,70.71,74.21,66.98,1,1,0,,4-6 hrs,1,1,False,False,False,True,False,False,1.8057142857142885,Improving,66.985,At Safe
0,2.8,72.3,61.39,64.88,66.14,66.91,70.08,66.48,70.86,72.09,67.35,0,1,0,,6-8 hrs,0,1,True,False,False,False,False,False,1.297500000000003,Improving,67.35375,At Safe
1,8.9,74.5,49.57,53.41,51.77,52.37,49.53,52.26,52.21,51.65,51.6,7,1,0,,4-6 hrs,1,1,False,False,False,False,False,False,0.08559523809524232,Stable,51.59624999999999,At Safe
2,5.6,77.6,52.98,46.84,46.64,42.83,41.77,40.3,36.83,35.0,42.9,3,1,1,,4-6 hrs,1,2,True,False,False,False,False,False,-2.3332142857142837,Deteriorating,42.89874999999999,At Risk
0,3.3,79.7,50.72,56.7,58.41,58.76,56.69,61.93,66.28,67.86,59.67,5,1,1,,6-8 hrs,2,1,False,False,False,False,False,True,2.0996428571428587,Improving,59.66875,At Safe
1,3.3,90.4,55.05,46.74,48.92,43.31,41.01,39.26,38.65,37.91,43.86,2,1,0,,>8 hrs,2,2,True,False,False,False,False,False,-2.2822619047619033,Deteriorating,43.85624999999999,At Risk
1,4.3,72.7,54.18,58.24,57.41,55.53,57.63,53.27,56.09,54.14,55.81,8,1,1,,6-8 hrs,2,1,False,False,False,True,False,False,-0.2541666666666637,Stable,55.81125,At Safe
1,4.0,79.1,67.95,69.94,67.7,70.16,67.38,72.48,69.51,67.58,69.09,1,1,1,,4-6 hrs,1,1,False,False,False,False,False,True,0.0811904761904809,Stable,69.0875,At Safe
1,6.7,89.6,55.59,52.37,50.11,51.93,43.44,44.51,47.34,41.84,48.39,6,1,0,,6-8 hrs,2,1,False,False,False,False,False,True,-1.7463095238095216,Deteriorating,48.39125,At Risk
0,4.9,79.6,69.66,72.27,67.69,71.97,74.45,71.78,72.93,77.62,72.3,0,1,0,,4-6 hrs,2,1,False,False,False,True,False,False,0.8782142857142939,Improving,72.29625000000001,At Safe
1,3.0,85.7,59.57,55.82,55.04,48.97,49.71,48.55,48.71,42.93,51.16,6,1,0,,6-8 hrs,1,2,False,False,False,False,True,False,-2.032857142857139,Deteriorating,51.1625,At Risk
1,8.3,80.9,65.78,65.62,62.0,66.77,69.16,66.13,71.64,66.84,66.74,6,1,0,,4-6 hrs,1,1,False,False,False,False,False,False,0.6226190476190528,Stable,66.7425,At Safe
0,4.6,84.1,51.76,54.4,54.69,49.96,46.34,48.14,44.38,41.99,48.96,6,1,1,,6-8 hrs,1,0,False,True,False,False,False,False,-1.687619047619045,Deteriorating,48.957499999999996,At Risk
1,6.0,80.2,69.65,67.04,63.99,69.46,68.47,67.64,70.3,68.68,68.15,3,1,0,,4-6 hrs,1,1,False,True,False,False,False,False,0.23178571428571879,Stable,68.15375,At Safe
1,3.3,87.3,65.52,60.49,63.32,67.56,69.94,71.41,72.74,73.38,68.04,5,1,0,,4-6 hrs,0,1,True,False,False,False,False,False,1.7014285714285744,Improving,68.045,At Safe
1,5.2,69.6,76.44,74.65,79.52,75.64,78.01,75.5,79.41,76.53,76.96,1,1,1,,6-8 hrs,1,1,False,True,False,False,False,False,0.17547619047619326,Stable,76.96249999999999,At Safe
1,5.1,79.1,79.59,80.64,81.72,75.91,75.15,81.63,77.34,75.62,78.45,5,1,1,,6-8 hrs,1,1,False,False,True,False,False,False,-0.5395238095238044,Stable,78.45,At Safe
0,0.7,84.4,64.0,68.24,71.6,76.4,74.85,76.0,79.84,82.16,74.14,3,1,1,,6-8 hrs,0,1,False,False,False,False,True,False,2.3425000000000002,Improving,74.13625,At Safe
1,8.5,86.3,59.65,59.31,60.88,55.42,60.65,60.52,56.94,55.81,58.65,1,1,1,,>8 hrs,0,0,False,False,True,False,False,False,-0.41166666666666407,Stable,58.647499999999994,At Safe
0,7.1,93.9,54.48,54.52,55.45,53.47,51.94,53.85,51.78,54.69,53.77,8,1,1,,>8 hrs,1,0,False,False,False,False,False,False,-0.22095238095237854,Stable,53.7725,At Safe
0,3.7,78.9,64.53,67.16,71.05,70.29,74.31,74.87,77.49,79.82,72.44,3,1,0,,2-4 hrs,1,1,False,False,False,False,True,False,2.0733333333333364,Improving,72.44,At Safe
1,2.3,93.8,72.37,80.05,82.26,80.18,81.9,85.87,87.75,88.24,82.33,1,1,0,,>8 hrs,1,1,False,False,False,False,False,True,1.9302380952380973,Improving,82.3275,At Safe
0,5.2,76.7,68.4,63.32,61.76,62.69,59.5,59.48,54.71,54.83,60.59,4,1,1,,4-6 hrs,2,1,True,False,False,False,False,False,-1.762738095238095,Deteriorating,60.58624999999999,At Risk
1,4.7,92.6,48.37,51.5,53.24,52.54,54.9,51.34,52.84,53.45,52.27,3,1,0,,>8 hrs,0,0,False,False,True,False,False,False,0.4633333333333323,Stable,52.2725,At Safe
1,5.2,88.5,68.16,65.07,62.74,58.03,57.14,56.5,55.34,53.02,59.5,4,1,1,,4-6 hrs,0,2,False,False,False,False,False,False,-2.07428571428571,Deteriorating,59.5,At Risk
0,4.9,74.7,71.9,68.12,64.47,63.7,62.78,61.68,58.54,55.11,63.29,5,1,1,,6-8 hrs,2,1,True,False,False,False,False,False,-2.0799999999999974,Deteriorating,63.28750000000001,At Risk
2,5.5,84.5,73.28,75.5,76.19,75.34,71.01,71.52,73.06,74.47,73.8,4,1,0,,6-8 hrs,1,1,False,False,True,False,False,False,-0.2644047619047584,Stable,73.79625,At Safe
0,7.4,81.6,78.0,76.72,76.22,72.73,77.08,77.81,75.39,81.21,76.9,4,1,0,,4-6 hrs,1,2,False,False,False,True,False,False,0.29690476190476384,Stable,76.89500000000001,At Safe
1,5.6,87.0,60.33,60.98,63.57,68.04,70.95,67.5,72.57,75.71,67.46,2,0,0,,6-8 hrs,2,1,False,False,False,True,False,False,2.146547619047622,Improving,67.45625,At Safe
1,2.4,80.2,78.81,79.01,85.48,81.63,85.86,87.13,88.21,91.97,84.76,0,1,0,,6-8 hrs,1,2,False,False,False,False,False,False,1.753571428571431,Improving,84.7625,At Safe
0,7.2,79.5,61.89,67.44,68.86,69.45,73.64,76.03,77.66,79.59,71.82,3,1,1,,4-6 hrs,2,1,False,False,True,False,False,False,2.389285714285715,Improving,71.82,At Safe
1,7.8,93.0,80.32,83.95,80.94,84.23,90.71,88.66,85.55,92.77,85.89,3,0,1,,6-8 hrs,1,2,False,False,False,False,False,False,1.485595238095243,Improving,85.89124999999999,At Safe
1,10.0,81.2,56.95,62.61,62.76,60.61,58.8,61.08,58.98,61.57,60.42,2,1,0,,6-8 hrs,1,1,False,False,False,True,False,False,0.08738095238095174,Stable,60.42,At Safe
0,2.3,88.6,71.47,71.99,70.23,73.3,73.16,70.63,78.33,75.1,73.03,2,1,1,,>8 hrs,2,0,False,False,False,False,False,True,0.6925000000000031,Stable,73.02624999999999,At Safe
1,5.0,80.2,58.14,53.88,55.62,56.93,59.11,53.77,57.67,55.37,56.31,5,1,1,,4-6 hrs,1,1,False,False,True,False,False,False,-0.045357142857141326,Stable,56.31125,At Safe
0,0.5,95.3,52.0,52.55,56.13,50.98,51.77,51.69,56.46,57.21,53.6,4,1,0,,6-8 hrs,0,1,False,False,False,False,True,False,0.5177380952380972,Stable,53.598749999999995,At Safe
1,5.6,76.6,74.59,73.37,71.0,66.81,66.51,59.44,61.85,62.53,67.01,6,1,0,,4-6 hrs,2,1,False,False,False,False,True,False,-2.1071428571428528,Deteriorating,67.0125,At Risk
0,3.4,77.1,71.89,74.42,77.79,78.33,79.37,85.99,84.49,87.86,80.02,0,1,1,,6-8 hrs,2,1,False,False,False,False,True,False,2.2354761904761937,Improving,80.0175,At Safe
1,8.3,94.2,51.11,53.84,50.9,47.97,44.45,43.55,44.46,38.77,46.88,3,1,1,,4-6 hrs,0,1,False,False,False,False,True,False,-1.891071428571427,Deteriorating,46.881249999999994,At Risk
0,3.0,78.4,71.87,74.63,73.97,70.66,71.51,75.5,73.84,72.09,73.01,5,1,1,,6-8 hrs,1,1,False,False,False,True,False,False,0.03607142857143012,Stable,73.00875,At Safe
0,1.1,94.8,58.49,56.51,56.67,49.63,50.92,48.97,46.42,43.89,51.44,6,1,1,,4-6 hrs,0,2,False,False,False,False,False,False,-2.0769047619047614,Deteriorating,51.43750000000001,At Risk
1,3.6,89.1,70.06,69.99,73.27,75.1,76.94,83.8,80.91,82.17,76.53,3,1,0,,6-8 hrs,0,1,False,False,False,False,False,True,2.0571428571428614,Improving,76.52999999999999,At Safe
2,0.5,80.8,71.41,71.65,75.99,78.51,81.13,84.37,86.23,89.25,79.82,2,1,1,,4-6 hrs,1,0,False,False,False,False,False,True,2.685,Improving,79.8175,At Safe
0,6.0,67.5,65.92,64.01,64.86,63.16,67.94,66.58,67.68,67.85,66.0,4,0,0,,6-8 hrs,1,1,False,False,False,True,False,False,0.4976190476190475,Stable,66.0,At Safe
0,0.5,81.8,53.75,52.23,49.69,48.02,48.78,44.31,41.27,40.61,47.33,6,1,1,,4-6 hrs,1,1,True,False,False,False,False,False,-1.9304761904761878,Deteriorating,47.332499999999996,At Risk
0,4.6,82.8,78.89,81.53,83.04,86.83,85.89,84.84,92.17,95.2,86.05,2,1,1,,4-6 hrs,2,1,False,False,False,False,True,False,2.0455952380952414,Improving,86.04875,At Safe
0,0.5,91.3,54.16,55.26,50.85,50.35,52.2,54.57,51.48,57.44,53.29,4,1,1,,6-8 hrs,1,0,False,False,False,True,False,False,0.2032142857142849,Stable,53.28875,At Safe
0,3.9,94.7,72.18,72.88,71.44,65.79,64.49,65.41,60.18,57.73,66.26,5,1,1,,4-6 hrs,2,1,False,False,False,True,False,False,-2.190952380952378,Deteriorating,66.2625,At Risk
1,7.8,76.5,70.1,71.32,67.38,73.97,71.98,75.53,78.93,79.4,73.58,4,1,0,,6-8 hrs,1,1,False,False,False,False,False,True,1.4953571428571468,Improving,73.57625,At Safe
1,5.2,88.4,65.02,70.96,67.49,67.67,68.67,66.35,67.91,67.76,67.73,5,1,1,,4-6 hrs,1,0,False,False,False,False,False,True,0.01797619047619688,Stable,67.72874999999999,At Safe
1,2.8,88.1,75.38,73.42,76.3,75.96,71.64,73.64,69.15,73.39,73.61,3,1,1,,6-8 hrs,1,1,False,False,False,False,False,False,-0.566428571428568,Stable,73.61,At Safe
1,4.4,90.6,61.5,60.67,66.27,67.48,68.61,69.91,72.24,75.97,67.83,3,1,1,,4-6 hrs,1,0,False,False,False,True,False,False,2.0379761904761917,Improving,67.83125000000001,At Safe
1,4.5,86.0,68.87,72.21,69.36,77.15,78.17,83.06,80.38,84.9,76.76,3,1,0,,4-6 hrs,1,2,False,False,False,False,False,False,2.3235714285714324,Improving,76.7625,At Safe
1,5.4,66.5,78.24,75.68,79.19,76.86,75.72,76.17,79.35,81.42,77.83,5,1,1,,4-6 hrs,1,1,False,False,False,False,False,True,0.36202380952381324,Stable,77.82875,At Safe
0,1.8,80.8,78.36,79.83,78.7,81.54,79.16,84.36,79.43,79.81,80.15,1,1,1,,6-8 hrs,2,1,False,False,False,False,True,False,0.27083333333333637,Stable,80.14875,At Safe
1,5.7,72.8,72.79,73.24,78.02,77.45,72.72,72.11,72.39,76.43,74.39,2,1,1,,6-8 hrs,0,1,False,False,False,False,False,True,-0.014642857142858927,Stable,74.39375000000001,At Safe
1,0.5,80.4,59.14,65.5,60.32,63.96,62.71,59.17,60.25,59.34,61.3,4,1,1,,>8 hrs,1,0,False,False,False,False,False,True,-0.35178571428571254,Stable,61.29875,At Safe
0,3.2,89.8,62.82,58.55,59.67,54.89,54.28,53.63,50.84,49.76,55.56,6,1,1,,4-6 hrs,0,1,False,False,False,False,False,False,-1.7702380952380916,Deteriorating,55.55500000000001,At Risk
1,3.5,84.4,55.96,60.9,54.58,56.76,57.69,59.19,56.1,54.84,57.0,4,1,1,,6-8 hrs,1,1,False,False,False,True,False,False,-0.20333333333332917,Stable,57.0025,At Safe
0,5.8,91.2,72.42,74.64,71.64,72.99,76.76,74.44,70.55,70.72,73.02,3,1,1,,6-8 hrs,2,0,False,False,False,False,True,False,-0.2402380952380917,Stable,73.02,At Safe
1,4.5,84.7,80.48,82.98,82.49,80.22,81.4,89.93,89.65,94.43,85.2,0,1,0,,6-8 hrs,1,1,False,False,False,False,False,False,1.8392857142857169,Improving,85.19749999999999,At Safe
2,1.7,71.6,62.71,59.99,59.35,60.89,60.28,54.11,53.86,49.95,57.64,4,1,0,,<2 hrs,1,1,False,False,False,False,False,False,-1.6226190476190472,Deteriorating,57.642500000000005,At Risk
0,2.5,61.8,80.62,76.61,80.63,76.5,81.31,76.93,81.65,85.44,79.96,6,1,1,,4-6 hrs,1,1,True,False,False,False,False,False,0.6267857142857174,Stable,79.96125,At Safe
1,4.9,83.2,59.03,65.2,59.64,57.42,59.46,59.5,59.94,57.53,59.72,6,1,0,,2-4 hrs,1,1,False,False,False,True,False,False,-0.418809523809519,Stable,59.715,At Safe
1,4.3,80.3,66.12,61.73,61.19,63.75,63.04,64.87,65.42,65.11,63.9,2,1,1,,>8 hrs,2,1,False,False,False,False,False,False,0.2584523809523854,Stable,63.90375,At Safe
0,3.3,74.2,83.73,76.83,77.39,70.58,66.1,66.08,60.39,69.12,71.28,1,1,1,,2-4 hrs,1,1,True,False,False,False,False,False,-2.653333333333334,Deteriorating,71.2775,At Risk
0,3.5,68.4,64.26,60.54,55.18,55.48,50.9,50.17,49.52,47.87,54.24,2,1,1,,4-6 hrs,2,1,False,True,False,False,False,False,-2.255238095238093,Deteriorating,54.24,At Risk
0,5.9,76.1,72.93,77.08,71.85,70.93,73.56,71.38,73.72,71.06,72.81,6,1,0,,6-8 hrs,0,1,False,False,False,True,False,False,-0.34130952380952295,Stable,72.81375,At Safe
0,3.5,80.4,68.56,70.52,68.5,68.44,69.44,71.45,71.81,72.08,70.1,1,1,1,,6-8 hrs,2,0,False,False,False,False,False,True,0.48738095238095613,Stable,70.1,At Safe
1,4.3,87.3,57.47,58.03,54.09,56.78,54.66,54.38,58.0,54.49,55.99,0,1,0,,6-8 hrs,0,2,False,False,False,True,False,False,-0.2649999999999969,Stable,55.9875,At Safe
1,8.8,83.5,70.29,69.67,70.26,72.36,69.37,74.39,74.27,72.99,71.7,0,0,0,,6-8 hrs,2,2,False,False,False,True,False,False,0.6107142857142877,Stable,71.7,At Safe
1,1.7,94.9,55.24,58.66,56.1,64.44,64.18,67.85,68.88,69.11,63.06,4,1,1,,6-8 hrs,2,1,False,False,False,True,False,False,2.1807142857142856,Improving,63.057500000000005,At Safe
0,0.8,73.7,62.34,56.65,55.31,59.39,54.47,51.28,48.24,47.95,54.45,3,1,0,,6-8 hrs,2,1,False,False,False,False,True,False,-1.902261904761903,Deteriorating,54.45374999999999,At Risk
0,6.1,89.0,55.86,59.42,62.12,64.34,65.26,62.76,67.68,74.97,64.05,4,1,1,,2-4 hrs,2,2,False,False,False,True,False,False,2.1179761904761913,Improving,64.05125,At Safe
1,3.1,82.4,75.38,73.92,74.07,76.34,74.8,73.59,72.21,76.52,74.6,3,1,0,,>8 hrs,1,1,False,False,False,False,False,True,-0.04226190476190469,Stable,74.60375,At Safe
1,3.9,87.6,69.68,69.98,69.66,68.91,70.11,63.87,68.93,66.62,68.47,2,1,1,,6-8 hrs,2,0,False,False,True,False,False,False,-0.5099999999999968,Stable,68.47,At Safe
1,2.9,78.5,69.95,71.39,72.01,71.22,70.84,73.1,71.54,68.95,71.12,1,1,1,,4-6 hrs,0,1,False,False,False,False,False,False,-0.04000000000000136,Stable,71.12500000000001,At Safe
1,4.0,90.6,51.86,52.12,44.93,46.28,48.85,44.13,41.59,43.22,46.62,7,1,0,,2-4 hrs,0,1,True,False,False,False,False,False,-1.3447619047619008,Deteriorating,46.6225,At Risk
0,7.7,84.4,66.79,62.34,60.08,60.16,61.58,67.6,63.91,67.92,63.8,4,1,1,,4-6 hrs,1,1,False,False,False,False,True,False,0.47309523809523796,Stable,63.79749999999999,At Safe
0,6.1,76.6,71.41,68.15,66.29,65.04,63.49,60.7,59.03,53.96,63.51,0,1,1,,>8 hrs,1,1,False,False,False,False,False,False,-2.2151190476190443,Deteriorating,63.50875,At Risk
0,6.2,81.9,76.07,77.42,75.43,77.0,75.19,77.39,76.27,74.98,76.22,0,1,1,,4-6 hrs,0,1,True,False,False,False,False,False,-0.11083333333333362,Stable,76.21875,At Safe
1,1.7,80.1,57.5,63.72,66.67,66.32,69.79,70.38,72.18,74.82,67.67,0,0,1,,4-6 hrs,2,2,False,False,True,False,False,False,2.120714285714287,Improving,67.6725,At Safe
1,2.2,85.9,71.8,69.77,70.38,63.97,64.34,60.1,62.69,58.48,65.19,3,1,0,,6-8 hrs,1,2,False,False,True,False,False,False,-1.8941666666666637,Deteriorating,65.19125,At Risk
0,0.5,72.6,70.65,77.95,79.28,80.6,84.34,84.54,86.53,90.75,81.83,2,1,1,,6-8 hrs,2,2,False,False,False,False,True,False,2.4180952380952405,Improving,81.83000000000001,At Safe
0,2.9,81.8,58.38,59.87,61.57,63.42,61.75,64.99,64.48,65.05,62.44,3,1,1,,6-8 hrs,1,0,False,False,True,False,False,False,0.9325000000000009,Improving,62.438750000000006,At Safe
0,6.4,85.2,79.44,79.12,84.38,85.69,89.6,89.13,87.4,89.63,85.55,0,1,0,,2-4 hrs,0,2,True,False,False,False,False,False,1.5582142857142878,Improving,85.54875,At Safe
0,5.5,82.3,58.49,61.94,61.57,62.04,65.18,66.87,68.96,70.73,64.47,6,1,1,,2-4 hrs,2,0,False,False,False,True,False,False,1.6645238095238115,Improving,64.4725,At Safe
0,4.1,92.8,56.59,54.63,56.04,58.59,57.39,58.37,56.12,56.79,56.82,5,1,0,,6-8 hrs,0,0,False,False,True,False,False,False,0.17428571428571493,Stable,56.815000000000005,At Safe
0,4.5,88.2,83.48,79.9,80.79,80.28,79.21,78.22,74.16,74.91,78.87,1,1,1,,>8 hrs,2,0,False,True,False,False,False,False,-1.1603571428571413,Deteriorating,78.86874999999999,At Risk
1,3.1,81.9,52.99,57.67,59.93,59.19,62.22,62.75,65.39,69.02,61.14,2,1,1,,4-6 hrs,2,1,False,False,False,False,True,False,1.932142857142859,Improving,61.144999999999996,At Safe
1,4.9,83.7,80.15,72.18,74.56,69.7,66.83,69.28,64.81,62.74,70.03,1,1,0,,6-8 hrs,1,1,False,False,False,False,True,False,-2.112261904761902,Deteriorating,70.03125,At Risk
1,6.0,84.4,52.08,47.0,55.07,46.49,46.87,40.32,42.79,42.51,46.64,5,1,1,,4-6 hrs,2,2,False,False,True,False,False,False,-1.570357142857141,Deteriorating,46.64125000000001,At Risk
1,1.3,85.2,49.03,54.71,59.06,59.38,60.75,63.39,67.98,66.92,60.15,4,1,0,,2-4 hrs,2,1,False,False,False,True,False,False,2.451666666666669,Improving,60.1525,At Safe
0,5.1,67.4,70.08,73.58,78.27,70.73,73.23,77.29,75.61,72.38,73.9,3,1,1,,2-4 hrs,1,2,False,False,False,True,False,False,0.30726190476191007,Stable,73.89625000000001,At Safe
1,6.4,79.6,65.29,65.29,67.04,65.71,70.08,64.77,66.43,68.27,66.61,2,0,1,,4-6 hrs,2,2,False,False,True,False,False,False,0.2871428571428604,Stable,66.61,At Safe
0,3.7,70.1,77.01,76.12,75.85,77.69,78.38,76.87,77.7,77.05,77.08,0,1,0,,6-8 hrs,0,1,False,True,False,False,False,False,0.14202380952381188,Stable,77.08375,At Safe
0,5.9,92.2,52.93,56.99,56.69,57.71,57.52,63.44,63.39,67.48,59.52,5,1,0,,4-6 hrs,2,2,False,False,True,False,False,False,1.8322619047619089,Improving,59.518750000000004,At Safe
1,10.0,81.5,76.54,71.76,68.51,69.16,64.22,65.5,60.04,59.79,66.94,5,1,1,,4-6 hrs,1,1,False,False,False,False,False,True,-2.259761904761902,Deteriorating,66.94000000000001,At Risk
1,4.3,80.5,51.03,49.74,55.25,49.42,60.28,58.45,60.75,67.4,56.54,8,0,1,,>8 hrs,1,2,False,False,False,False,False,True,2.2630952380952416,Improving,56.540000000000006,At Safe
0,5.3,89.2,79.14,78.26,76.86,76.92,75.83,74.62,78.91,79.06,77.45,3,1,1,,6-8 hrs,1,2,False,False,True,False,False,False,-0.06095238095237801,Stable,77.44999999999999,At Safe
1,3.0,85.4,76.6,74.38,74.94,72.01,74.34,73.19,71.43,70.81,73.46,1,1,1,,6-8 hrs,1,1,False,False,False,False,True,False,-0.692857142857141,Stable,73.4625,At Safe
1,4.9,73.0,72.11,72.36,69.09,70.07,68.49,70.05,71.84,70.74,70.59,4,1,1,,4-6 hrs,2,1,False,True,False,False,False,False,-0.12964285714285245,Stable,70.59375,At Safe
1,5.4,81.4,58.28,61.63,58.46,60.99,61.91,60.57,57.9,57.99,59.72,4,1,1,,>8 hrs,1,1,False,False,False,True,False,False,-0.15988095238094935,Stable,59.716249999999995,At Safe
1,4.9,79.3,63.13,67.51,64.03,70.46,70.11,69.35,71.76,76.05,69.05,1,1,1,,4-6 hrs,0,1,False,False,False,False,True,False,1.5154761904761915,Improving,69.05,At Safe
0,2.5,68.0,52.78,50.76,50.34,49.17,48.01,47.44,44.5,43.47,48.31,5,1,1,,6-8 hrs,0,1,False,False,False,False,False,False,-1.265833333333333,Deteriorating,48.30875,At Risk
0,4.9,76.5,74.77,77.45,75.42,75.32,73.77,73.1,74.76,72.52,74.64,3,1,1,,2-4 hrs,1,1,False,False,False,True,False,False,-0.44892857142856807,Stable,74.63874999999999,At Safe
0,7.4,80.5,53.91,56.72,56.91,55.45,54.88,57.99,56.79,53.52,55.77,7,1,1,,6-8 hrs,1,1,False,False,False,False,False,True,0.0034523809523829578,Stable,55.77125,At Safe
0,5.4,81.1,56.66,61.57,63.81,66.12,68.33,70.53,67.43,74.29,66.09,4,1,0,,>8 hrs,1,0,False,False,True,False,False,False,2.0842857142857185,Improving,66.0925,At Safe
0,6.4,70.1,61.28,60.7,61.71,65.97,67.37,66.05,67.97,70.79,65.23,2,1,1,,2-4 hrs,1,2,False,False,False,False,False,True,1.3969047619047619,Improving,65.22999999999999,At Safe
1,4.0,91.2,58.76,53.58,58.25,54.03,57.39,54.22,58.55,61.93,57.09,1,1,1,,4-6 hrs,1,0,False,False,False,True,False,False,0.4560714285714325,Stable,57.088750000000005,At Safe
0,6.0,81.2,51.49,49.22,48.66,46.78,46.64,40.8,45.62,35.72,45.62,3,1,0,,4-6 hrs,1,1,False,False,False,True,False,False,-1.8108333333333329,Deteriorating,45.61625000000001,At Risk
0,5.1,82.3,54.86,54.93,53.55,53.19,54.57,54.2,53.15,50.55,53.62,3,1,0,,4-6 hrs,1,1,True,False,False,False,False,False,-0.42547619047618745,Stable,53.62499999999999,At Safe
0,2.6,85.2,56.32,50.97,55.7,55.2,58.07,55.87,56.49,54.99,55.45,8,1,1,,4-6 hrs,1,1,False,False,False,False,False,False,0.2579761904761925,Stable,55.45125,At Safe
0,5.1,75.7,80.74,81.4,78.05,74.23,74.26,76.5,74.54,74.69,76.8,2,1,0,,4-6 hrs,2,0,False,False,False,False,False,True,-0.9674999999999971,Deteriorating,76.80125000000001,At Risk
1,2.5,85.7,78.51,77.11,76.1,75.19,70.69,65.27,69.21,61.65,71.72,2,0,1,,6-8 hrs,0,2,False,False,False,True,False,False,-2.315595238095238,Deteriorating,71.71624999999999,At Risk
1,3.2,79.1,53.08,55.74,51.49,64.95,63.86,63.23,64.51,67.77,60.58,6,0,1,,2-4 hrs,2,2,False,False,False,False,True,False,2.1524999999999994,Improving,60.57875,At Safe
1,4.9,74.8,63.3,58.9,61.39,50.11,52.38,50.93,48.02,45.24,53.78,6,0,1,,6-8 hrs,1,0,False,True,False,False,False,False,-2.49916666666666,Deteriorating,53.78375,At Risk
1,5.1,86.6,69.13,69.89,68.07,71.48,68.08,64.96,68.09,66.94,68.33,3,0,0,,6-8 hrs,1,0,False,False,True,False,False,False,-0.4411904761904769,Stable,68.32999999999998,At Safe
0,2.1,93.9,75.22,71.77,73.25,72.19,67.66,68.89,62.64,58.93,68.82,6,1,0,,6-8 hrs,2,0,False,True,False,False,False,False,-2.110595238095238,Deteriorating,68.81875,At Risk
