Register Number,Gender,Study hours,Attendance percentage,Semester 1(aggregate),Semester 2(aggregate),Semester 3(aggregate),Semester 4(aggregate),Semester 5(aggregate),Semester 6(aggregate),Semester 7(aggregate),Semester 8(aggregate),Total aggregate,No. of backlogs,Internet access(yes/no),Extracurricular activities(yes/no),Device used for studing,Library Usage,Sleep hours,Classroom engagement level,Peer interaction level
REG00001,Male,3.3,80.8,51.8,51.58,48.72,45.75,43.88,39.68,42.78,43.77,46,4,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG00002,Female,0.5,84.8,65.82,65.78,66.65,64.74,57.93,57.59,52.23,54.73,60.68,6,yes,yes,"Laptops, Mobile",yes,6-8 hrs,Low,Low
REG00003,Female,3.7,74.1,66.69,67.18,65.67,63.29,66.11,66.78,63.72,67.08,65.82,5,yes,no,Text books,no,6-8 hrs,Low,Medium
REG00004,Female,6.3,80.8,58.13,58.11,54.93,51.35,51.16,47.98,48.4,45.3,51.92,4,yes,yes,Laptops,yes,4-6 hrs,High,High
REG00005,Male,5.6,80.4,73.01,71.8,72.69,76.4,74.81,74.36,69.91,74.17,73.39,5,yes,no,"Laptops, Text books",no,4-6 hrs,Medium,Medium
REG00006,Male,5.4,83.5,57.96,60.2,65.73,63.73,67.94,71.78,73.37,73.77,66.81,6,yes,no,"Laptops, Mobile, Text books",yes,2-4 hrs,Medium,High
REG00007,Male,3.9,84.7,72.52,71.96,75.43,83.02,77.83,83,88.5,85.71,79.75,3,yes,yes,Mobile,no,4-6 hrs,Medium,High
REG00008,Female,1.9,86.5,61.94,68.82,64.49,66.87,70.3,72.85,76.83,77.88,70,0,yes,yes,Text books,yes,4-6 hrs,High,Medium
REG00009,Female,5.5,83.9,59.45,61.89,67.38,65.14,69.88,67.22,70.71,74.21,66.98,1,yes,no,Mobile,yes,4-6 hrs,Medium,Medium
REG00010,Female,2.8,72.3,61.39,64.88,66.14,66.91,70.08,66.48,70.86,72.09,67.35,0,yes,no,"Laptops, Mobile",yes,6-8 hrs,Low,Medium
REG00011,Male,8.9,74.5,49.57,53.41,51.77,52.37,49.53,52.26,52.21,51.65,51.6,7,yes,no,Laptops,yes,4-6 hrs,Medium,Medium
REG00012,Other,5.6,77.6,52.98,46.84,46.64,42.83,41.77,40.3,36.83,35,42.9,3,yes,yes,"Laptops, Mobile",no,4-6 hrs,Medium,High
REG00013,Female,3.3,79.7,50.72,56.7,58.41,58.76,56.69,61.93,66.28,67.86,59.67,5,yes,yes,Text books,yes,6-8 hrs,High,Medium
REG00014,Male,3.3,90.4,55.05,46.74,48.92,43.31,41.01,39.26,38.65,37.91,43.86,2,yes,no,"Laptops, Mobile",yes,>8 hrs,High,High
REG00015,Male,4.3,72.7,54.18,58.24,57.41,55.53,57.63,53.27,56.09,54.14,55.81,8,yes,yes,Mobile,yes,6-8 hrs,High,Medium
REG00016,Male,4,79.1,67.95,69.94,67.7,70.16,67.38,72.48,69.51,67.58,69.09,1,yes,yes,Text books,yes,4-6 hrs,Medium,Medium
REG00017,Male,6.7,89.6,55.59,52.37,50.11,51.93,43.44,44.51,47.34,41.84,48.39,6,yes,no,Text books,yes,6-8 hrs,High,Medium
REG00018,Female,4.9,79.6,69.66,72.27,67.69,71.97,74.45,71.78,72.93,77.62,72.3,0,yes,no,Mobile,no,4-6 hrs,High,Medium
REG00019,Male,3,85.7,59.57,55.82,55.04,48.97,49.71,48.55,48.71,42.93,51.16,6,yes,no,"Mobile, Text books",yes,6-8 hrs,Medium,High
REG00020,Male,8.3,80.9,65.78,65.62,62,66.77,69.16,66.13,71.64,66.84,66.74,6,yes,no,Laptops,yes,4-6 hrs,Medium,Medium
REG00021,Female,4.6,84.1,51.76,54.4,54.69,49.96,46.34,48.14,44.38,41.99,48.96,6,yes,yes,"Laptops, Mobile, Text books",yes,6-8 hrs,Medium,Low
REG00022,Male,6,80.2,69.65,67.04,63.99,69.46,68.47,67.64,70.3,68.68,68.15,3,yes,no,"Laptops, Mobile, Text books",yes,4-6 hrs,Medium,Medium
REG00023,Male,3.3,87.3,65.52,60.49,63.32,67.56,69.94,71.41,72.74,73.38,68.04,5,yes,no,"Laptops, Mobile",no,4-6 hrs,Low,Medium
REG00024,Male,5.2,69.6,76.44,74.65,79.52,75.64,78.01,75.5,79.41,76.53,76.96,1,yes,yes,"Laptops, Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG00025,Male,5.1,79.1,79.59,80.64,81.72,75.91,75.15,81.63,77.34,75.62,78.45,5,yes,yes,"Laptops, Text books",no,6-8 hrs,Medium,Medium
REG00026,Female,0.7,84.4,64,68.24,71.6,76.4,74.85,76,79.84,82.16,74.14,3,yes,yes,"Mobile, Text books",yes,6-8 hrs,Low,Medium
REG00027,Male,8.5,86.3,59.65,59.31,60.88,55.42,60.65,60.52,56.94,55.81,58.65,1,yes,yes,"Laptops, Text books",no,>8 hrs,Low,Low
REG00028,Female,7.1,93.9,54.48,54.52,55.45,53.47,51.94,53.85,51.78,54.69,53.77,8,yes,yes,Laptops,no,>8 hrs,Medium,Low
REG00029,Female,3.7,78.9,64.53,67.16,71.05,70.29,74.31,74.87,77.49,79.82,72.44,3,yes,no,"Mobile, Text books",no,2-4 hrs,Medium,Medium
REG00030,Male,2.3,93.8,72.37,80.05,82.26,80.18,81.9,85.87,87.75,88.24,82.33,1,yes,no,Text books,yes,>8 hrs,Medium,Medium
REG00031,Female,5.2,76.7,68.4,63.32,61.76,62.69,59.5,59.48,54.71,54.83,60.59,4,yes,yes,"Laptops, Mobile",no,4-6 hrs,High,Medium
REG00032,Male,4.7,92.6,48.37,51.5,53.24,52.54,54.9,51.34,52.84,53.45,52.27,3,yes,no,"Laptops, Text books",yes,>8 hrs,Low,Low
REG00033,Male,5.2,88.5,68.16,65.07,62.74,58.03,57.14,56.5,55.34,53.02,59.5,4,yes,yes,Laptops,yes,4-6 hrs,Low,High
REG00034,Female,4.9,74.7,71.9,68.12,64.47,63.7,62.78,61.68,58.54,55.11,63.29,5,yes,yes,"Laptops, Mobile",yes,6-8 hrs,High,Medium
REG00035,Other,5.5,84.5,73.28,75.5,76.19,75.34,71.01,71.52,73.06,74.47,73.8,4,yes,no,"Laptops, Text books",yes,6-8 hrs,Medium,Medium
REG00036,Female,7.4,81.6,78,76.72,76.22,72.73,77.08,77.81,75.39,81.21,76.9,4,yes,no,Mobile,yes,4-6 hrs,Medium,High
REG00037,Male,5.6,87,60.33,60.98,63.57,68.04,70.95,67.5,72.57,75.71,67.46,2,no,no,Mobile,no,6-8 hrs,High,Medium
REG00038,Male,2.4,80.2,78.81,79.01,85.48,81.63,85.86,87.13,88.21,91.97,84.76,0,yes,no,Laptops,yes,6-8 hrs,Medium,High
REG00039,Female,7.2,79.5,61.89,67.44,68.86,69.45,73.64,76.03,77.66,79.59,71.82,3,yes,yes,"Laptops, Text books",no,4-6 hrs,High,Medium
REG00040,Male,7.8,93,80.32,83.95,80.94,84.23,90.71,88.66,85.55,92.77,85.89,3,no,yes,Laptops,yes,6-8 hrs,Medium,High
REG00041,Male,10,81.2,56.95,62.61,62.76,60.61,58.8,61.08,58.98,61.57,60.42,2,yes,no,Mobile,yes,6-8 hrs,Medium,Medium
REG00042,Female,2.3,88.6,71.47,71.99,70.23,73.3,73.16,70.63,78.33,75.1,73.03,2,yes,yes,Text books,no,>8 hrs,High,Low
REG00043,Male,5,80.2,58.14,53.88,55.62,56.93,59.11,53.77,57.67,55.37,56.31,5,yes,yes,"Laptops, Text books",yes,4-6 hrs,Medium,Medium
REG00044,Female,0.5,95.3,52,52.55,56.13,50.98,51.77,51.69,56.46,57.21,53.6,4,yes,no,"Mobile, Text books",no,6-8 hrs,Low,Medium
REG00045,Male,5.6,76.6,74.59,73.37,71,66.81,66.51,59.44,61.85,62.53,67.01,6,yes,no,"Mobile, Text books",yes,4-6 hrs,High,Medium
REG00046,Female,3.4,77.1,71.89,74.42,77.79,78.33,79.37,85.99,84.49,87.86,80.02,0,yes,yes,"Mobile, Text books",yes,6-8 hrs,High,Medium
