Category,Model,Accuracy,F1 Score
Deep Learning,BiLSTM,0.9869999885559082,0.991162474507138
Deep Learning,LSTM,0.9860000014305115,0.9906291834002677
Deep Learning,CNN,0.9850000143051147,0.9898717083051992
Hybrid,BiLSTM and XGBoost,0.853,0.9082969432314411
Deep Learning,Autoencoder,0.8349999785423279,0.888135593220339
Ensemble,AdaBoost,0.793,0.6323784051616202
Ensemble,GradientBoosting,0.787,0.6234879860849645
Ensemble,RandomForest,0.782,0.6208009796554507
Ensemble,LightGBM,0.781,0.6298668703807301
Classic,LogisticRegression,0.779,0.8634959851760345
Classic,SVM,0.767,0.8603954463750749
Hybrid,Autoencoder and RandomForest,0.753,0.8549618320610687
Ensemble,XGBoost,0.751,0.6227907124710844
Hybrid,CNN and XGBoost,0.741,0.8512349224583573
Classic,KNN,0.727,0.8328230251071648
Classic,DecisionTree,0.677,0.7745987438939288
